,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact,Species
14,126358,Guatemala,Karen Acajabon Coffee Farm,"The 2022 Pacific Rim Coffee Summit,GT12",Cafetoland,,Taiwan Coffee Laboratory,2000,Acatenango,Karen Acajabon,5,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,2022-11-15,Full Sweet Coffee,Gesha,Completed,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,8.0,0.0,86.25,11.5 %,0 full defects,0,brownish,1 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
15,443473,Taiwan,古峰咖啡莊園 Goodfun Coffee Farm,"The 2022 Pacific Rim Coffee Summit,T051",古峰咖啡莊園,,Taiwan Coffee Laboratory,1250,Yunlin,賴彥合,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Goodfun,Gesha,Completed,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.25,11.9 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
16,241548,Ethiopia,Gelana Geisha,"Grade 1, Guji, Natural, Gelana Geisha",Dry Mill or Hulling Facility,010/0475/0207,Kerchanshe Trading PLC,1900-2000,Guji,Kerchanshe,40,60 kg,METAD Agricultural Development plc,2021 / 2022,2022-08-26,Isreal Degefa,Gesha,Completed,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.17,11.6 %,0 full defects,3,Yellow- Green,2 full defects,2023-08-26,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",Arabica
17,655504,Colombia,La Gaitania,"The 2022 Pacific Rim Coffee Summit,CO03",La Gaitania,,Taiwan Coffee Laboratory,1850,tolima,Josue Enciso Suarez,70,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,PeiHsun Lin,Caturra,Completed,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,8.0,0.0,86.17,10.6 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
18,282884,Taiwan,嵩岳咖啡Songyue Coffee Manor,1,嵩岳咖啡Songyue Coffee Manor,,Taiwan Coffee Laboratory,1200,"雲林縣古坑鄉 Gukeng Township, Yunlin County",郭亮志 Guo Liang Zhi,2,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-04-06,郭亮志 GuoLiangZhi,Gesha,Completed,Natural / Dry,8.17,8.17,7.83,8.0,7.83,8.08,10.0,10.0,10.0,8.08,0.0,86.17,9.1 %,0 full defects,0,Green,1 full defects,2023-04-06,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
19,617945,Taiwan,東璧咖啡莊園,202203,yes,non,Dongbi coffee,1300,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",陳景立,5,2 kg,Blossom Valley International宸嶧國際,2022,2022-10-24,Dongbi,Gesha,Completed,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,8.17,0.0,86.08,10.3 %,0 full defects,0,yellow-green,0 full defects,2023-10-24,Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323,Arabica
20,494650,Taiwan,青葉咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T014",青葉咖啡莊園,,Taiwan Coffee Laboratory,1100,Chiayi,葉世遠,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,8.0,0.0,86.08,10.2 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
21,398553,Colombia,El Diamante,CQU2022008,El Diamante,,Coffee Quality Union,1350,Quindio,Farm Bedoya Arango,6,10 kg,Japan Coffee Exchange,2021,2022-04-22,Coffee Quality Union,Castillo Paraguaycito,Completed,Anaerobico 21days,8.17,8.0,7.83,8.0,8.0,7.92,10.0,10.0,10.0,8.0,0.0,85.92,11.5 %,0 full defects,0,brownish,1 full defects,2023-04-22,Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Arabica
22,969616,Uganda,Buginyanya,4-Buginyanya,Mbale Importers And Exporters,,Mount Elgon Coffee And Honey Co-Operative LTD,1920-2300,Sipi-Bulambuli Origin,Mount Elgon Coffee And Honey Coop,240,60 kg,Coffee Laboratory LTD,2021 / 2022,2022-05-10,ROGERS WASIBI,SL14,Completed,Washed / Wet,7.5,8.17,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.08,0.0,85.92,13.7 %,0 full defects,0,Green,0 full defects,2023-05-10,Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937,Arabica
23,814850,Taiwan,櫻桃果古坑咖啡莊園,202112,yes,non,宸嶧國際有限公司,1200,"Gukeng Township, Yunlin County",王瀅惠,8,1 kg,Blossom Valley International宸嶧國際,2021 / 2022,2022-10-24,王瀅惠,Gesha,Completed,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,8.17,0.0,85.92,11 %,0 full defects,0,brownish,1 full defects,2023-10-24,Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323,Arabica
24,346202,"Tanzania, United Republic Of",ENGARE OLMOTONY,CN 4127230032/P-9140,GOURMET COFFEE MILL,033/DE/163/001,DORMAN (T) LIMITED,1570-1600,KILIMANJARO,DORMAN (T) LIMITED,200,30 kg,Kenya Coffee Traders Association,2022 / 2023,2023-02-01,Gilbert Maina,Bourbon,Completed,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,7.92,0.0,85.83,10 %,0 full defects,0,Greenish,0 full defects,2024-02-01,Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,Arabica
25,978770,Guatemala,Finca Vista Hermosa,"The 2022 Pacific Rim Coffee Summit,GT03",El Vergel,,Taiwan Coffee Laboratory,1900,"Guatemala, Fraijanes, Santa Rosa",Fredy Orantes,8,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Carlos Pascual - 潘仕杰,Gesha,Completed,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,8.08,0.0,85.75,11.6 %,0 full defects,0,yellowish,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
26,948279,Taiwan,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,2022/03,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,,Taiwan Coffee Laboratory,850,卓溪鄉Zhuoxi Township,游婷淯 YU TING YU,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-12-12,Yu Ting Yu 游婷淯,Typica,Completed,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,7.92,0.0,85.67,10.4 %,0 full defects,0,Green,0 full defects,2023-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
27,928398,Thailand,Hom Doi,1,Machines to peel outer skin of the cherry coffee and coffee is dried manually,,Lyrose,1500-1700,Chiang Mai,Lisu farmers,2,1 kg,FABB Academy of Coffee,2021 / 2022,2022-08-16,Christian Charmette,Catimor,Completed,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,8.08,0.0,85.67,9.8 %,0 full defects,0,Browish-Green,5 full defects,2023-08-16,FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593,Arabica
28,127725,Taiwan,永舜咖啡莊園,"The 2022 Pacific Rim Coffee Summit, T003",永舜咖啡莊園,,Taiwan Coffee Laboratory,1250,Yunlin,蘇甘永,4,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,7.92,0.0,85.58,10.6 %,0 full defects,0,Bluish-Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
29,300191,Brazil,Fazenda Recreio,Arara 1,Dry mill,,"WIT wealth, investments & trust",1250,Região Vulcânica,Diogo T. Dias de Macedo,25,60 kg,Brazil Specialty Coffee Association,2022,2023-01-06,Andre Clark,,Completed,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,8.0,0.0,85.5,11.3 %,2 full defects,0,Green,3 full defects,2024-01-06,Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705,Arabica
30,741300,Taiwan,他扶芽有機農園,"The 2022 Pacific Rim Coffee Summit,T045",他扶芽有機農園,,Taiwan Coffee Laboratory,1060,Chiayi,陳清龍,1,85 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.5,10.2 %,0 full defects,0,Blue-Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
31,717129,Taiwan,鄒築園ZouZhouYuan,"The 2022 Pacific Rim Coffee Summit,T024",鄒築園ZouZhouYuan,,Taiwan Coffee Laboratory,1300,Chiayi,方政倫,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,"Fang, Cheng Lun 方政倫",Gesha,Completed,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.5,9.1 %,0 full defects,0,Green,2 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
32,888419,Taiwan,嵩岳咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T048",嵩岳咖啡莊園,,Taiwan Coffee Laboratory,1200,Yunlin,郭志豪,1,90 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,"Jhih Hao,GUO 郭志豪",Gesha,Completed,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,7.92,0.0,85.5,10.6 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
33,389965,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,2022/3/1(老叢),鄉庭有機農場Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-250,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,3,48 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-12-12,Zhang Jin Yi 張進義,Typica,Completed,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.08,0.0,85.42,11.4 %,0 full defects,0,Bluish-Green,0 full defects,2023-12-12,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
34,829336,United States (Hawaii),Hokukano Ranch,"The 2022 Pacific Rim Coffee Summit,US01",Kona Coffee & Tea,,Taiwan Coffee Laboratory,600,Kona,Kona Hills LLC,80,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,2022-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,8.0,0.0,85.42,9.3 %,0 full defects,0,Green,0 full defects,2023-11-15,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
35,611011,Ethiopia,Uraga Bisrat washing station,0065,dry mill,ICO: 010/ 0218/0065,TADESSE DESTA IMPORT & EXPORT,2150 - 2350,Southern Ethiopia Guji,Bisrat Melaku,320,60 kg,METAD Agricultural Development plc,2021 / 2022,2022-09-30,Tadessa Desta Amene,Ethiopian Heirlooms,Completed,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,7.83,0.0,85.33,12.3 %,0 full defects,3,Yellow Green,4 full defects,2023-09-30,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",Arabica
36,917098,Ethiopia,Eshetu farm,Washed Limmu,Lata Agri export,010/1081,Alo Coffee,1950,Oromia,Eshetu,320,60 kg,METAD Agricultural Development plc,2021 / 2022,2022-06-06,Tamiru Tadesse Tesema,Ethiopian Heirlooms,Completed,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,8.0,0.0,85.33,9.9 %,0 full defects,2,Green,3 full defects,2023-06-06,METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",Arabica
37,894623,Taiwan,金讚咖啡農莊園(Jinzan Coffee Estate),2022臺南市精品咖啡評鑑批次,金讚咖啡農莊園(Jinzan Coffee Estate),,Taiwan Coffee Laboratory,668,"Dongshan Dist., Tainan City","葉明讚 (YE,MING-ZAN)",4,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,2022-06-08,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,8.0,0.0,85.33,11.3 %,0 full defects,0,Green,0 full defects,2023-06-08,Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Arabica
